0|Eliza|916
1|Andreea|913
2|Miruna|915
3|Daria|913
4|Bianca|914
5|Andrei|916
6|Otilia|911
7|Ilinca|911
4324|test|1
149389|Marin|912
149389|Marin|912
149389|Marin|912
149389|Marin|912
149389|Marin|912
149389|Marin|912
149389|Marin|912
149389|Marin|912
149389|Marin|912
149389|Marin|912
149389|Marin|912
149389|Marin|912
149389|Marin|912
149389|Marin|912
149389|Marin|912
149389|Marin|912
149389|Marin|912
149389|Marin|912
149389|Marin|912
149389|Marin|912
149389|Marin|912
149389|Marin|912
149389|Marin|912
149389|Marin|912
149389|Marin|912
149389|Marin|912
149389|Marin|912
